800, -63.171155203255523, 54.655081260668403
850, -57.038833085315503, 51.1290242471132
900, -58.445511981687481, 48.053413430430886
950, -46.605703523289577, 42.04553029470307
1000, -45.455079540393456, 37.620473143757685
1050, -40.735722879301925, 32.212836574799717
1100, -31.094038460254382, 25.905191007825778
1150, -24.963194288005894, 19.949567293021037
1200, -18.208430577318111, 14.478689907810487
1250, -12.755504944050998, 10.143284486136761
1300, -6.0943571488303556, 6.093641551772583
1400, -6.0619216231758744, 2.6792971321434904
1425, -6.307166710307353, 1.8292205898961695
1450, -3.5271751304985464, 1.4762060339155287
1475, -5.1861669658309806, 1.2100793999320294
1500, -2.8325738288191911, 0.98734729897096507